tripduration,index,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
362.0,0,1,01/01/2021 12:30:10 AM,01/01/2021 12:36:12 AM,1,2.1,1,N,142,43,2,8.0,3.0,0.5,0.0,0.0,0.3,11.8,2.5
59.0,1,1,01/01/2021 12:51:20 AM,01/01/2021 12:52:19 AM,1,0.2,1,N,238,151,2,3.0,0.5,0.5,0.0,0.0,0.3,4.3,0.0
992.0,4,2,01/01/2021 12:31:49 AM,01/01/2021 12:48:21 AM,1,4.94,1,N,68,33,1,16.5,0.5,0.5,4.06,0.0,0.3,24.36,2.5
481.0,5,1,01/01/2021 12:16:29 AM,01/01/2021 12:24:30 AM,1,1.6,1,N,224,68,1,8.0,3.0,0.5,2.35,0.0,0.3,14.15,2.5
1085.0,7,1,01/01/2021 12:12:29 AM,01/01/2021 12:30:34 AM,1,5.7,1,N,90,40,2,18.0,3.0,0.5,0.0,0.0,0.3,21.8,2.5
814.0,9,1,01/01/2021 12:26:12 AM,01/01/2021 12:39:46 AM,2,2.7,1,N,263,142,1,12.0,3.0,0.5,3.15,0.0,0.3,18.95,2.5
1335.0,10,2,01/01/2021 12:15:52 AM,01/01/2021 12:38:07 AM,3,6.11,1,N,164,255,1,20.5,0.5,0.5,0.0,0.0,0.3,24.3,2.5
429.0,11,2,01/01/2021 12:46:36 AM,01/01/2021 12:53:45 AM,2,1.21,1,N,255,80,1,7.0,0.5,0.5,2.49,0.0,0.3,10.79,0.0
466.0,13,2,01/01/2021 12:31:06 AM,01/01/2021 12:38:52 AM,5,1.7,1,N,142,50,1,8.0,0.5,0.5,2.36,0.0,0.3,14.16,2.5
133.0,14,2,01/01/2021 12:42:11 AM,01/01/2021 12:44:24 AM,5,0.81,1,N,50,142,2,4.5,0.5,0.5,0.0,0.0,0.3,8.3,2.5
247.0,15,2,01/01/2021 12:17:48 AM,01/01/2021 12:21:55 AM,1,1.01,1,N,236,237,1,5.5,0.5,0.5,1.0,0.0,0.3,10.3,2.5
299.0,16,2,01/01/2021 12:33:38 AM,01/01/2021 12:38:37 AM,1,0.73,1,N,142,239,1,5.5,0.5,0.5,2.79,0.0,0.3,12.09,2.5
297.0,17,2,01/01/2021 12:47:56 AM,01/01/2021 12:52:53 AM,1,1.17,1,N,238,166,1,6.5,0.5,0.5,2.06,0.0,0.3,12.36,2.5
217.0,18,2,01/01/2021 12:04:21 AM,01/01/2021 12:07:58 AM,1,0.78,1,N,239,238,1,4.5,0.5,0.5,1.66,0.0,0.3,9.96,2.5
