ride_type,hour,mean
bike,0,974.5714285714286
bike,1,1613.625
bike,2,1042.0
bike,3,1367.5
bike,4,
bike,5,2691.0
bike,6,1396.6666666666667
bike,7,1128.5757575757575
bike,8,1620.5915492957747
bike,9,1653.0842105263157
bike,10,1607.2830188679245
bike,11,1606.0077519379845
bike,12,1831.9589743589743
bike,13,1800.7666666666667
bike,14,1771.432098765432
bike,15,1726.3512658227849
bike,16,2039.6699346405228
bike,17,1914.0550161812298
bike,18,2004.249134948097
bike,19,2238.003144654088
bike,20,2086.8674033149173
bike,21,1468.5723684210527
bike,22,2299.887323943662
bike,23,1354.0416666666667
taxi,0,580.6666666666666
taxi,1,798.8333333333334
taxi,2,
taxi,3,
taxi,4,617.0
taxi,5,1305.5
taxi,6,
taxi,7,1174.3636363636363
taxi,8,1828.6666666666667
taxi,9,1391.0
taxi,10,1163.5
taxi,11,911.75
taxi,12,819.1428571428571
taxi,13,1485.5
taxi,14,1448.857142857143
taxi,15,696.8
taxi,16,1100.125
taxi,17,1169.3333333333333
taxi,18,760.25
taxi,19,919.0
taxi,20,679.3333333333334
taxi,21,634.0909090909091
taxi,22,965.4
taxi,23,821.0
