ride_type,hour,mean
bike,0,781.0
bike,1,1641.25
bike,2,533.3333333333334
bike,3,
bike,4,607.0
bike,5,1083.6666666666667
bike,6,415.875
bike,7,1291.4
bike,8,1025.6470588235295
bike,9,1357.7894736842106
bike,10,955.0909090909091
bike,11,1284.7619047619048
bike,12,1156.0357142857142
bike,13,1108.5625
bike,14,928.7567567567568
bike,15,1631.4545454545455
bike,16,868.7317073170732
bike,17,974.7096774193549
bike,18,988.8684210526316
bike,19,1125.8823529411766
bike,20,1109.875
bike,21,1066.9375
bike,22,1031.375
bike,23,1821.0
taxi,0,1121.0833333333333
taxi,1,766.5
taxi,2,980.4444444444445
taxi,3,673.0
taxi,4,1020.0
taxi,5,1001.2857142857143
taxi,6,899.59375
taxi,7,951.5925925925926
taxi,8,1108.057142857143
taxi,9,1016.7619047619048
taxi,10,964.0526315789474
taxi,11,819.6666666666666
taxi,12,866.7777777777778
taxi,13,997.0
taxi,14,1122.0833333333333
taxi,15,1176.6666666666667
taxi,16,1549.483870967742
taxi,17,1074.5
taxi,18,775.6315789473684
taxi,19,585.0
taxi,20,362.75
taxi,21,697.6666666666666
taxi,22,798.3333333333334
taxi,23,731.8
